2022-03-02 20:03:41,902 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": -1, "data": "0004000100000400000000001200057C210000000000744E575F47616D6553657474696E670041414141414141414141414141410000434343434343434343434343434300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000FFFFFFFFFFFFFFFFFFFFFFFF00000000FFFFFFFFFFFFFFFFFFFFFFFF00000100FFFFFFFFFFFFFFFFFFFFFFFF0600000000000000000000000000000002000000FFFFFFFFFFFFFFFF2800000000000000000000000101010101010001010000010101001403FF0000000100010100000050C30000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF00C0A84400C0A844000080BF000080BF000080BF000080BF000080BF000080BF0000AF430000AF43000080BF000080BF000080BF000080BF000080BF000080BF"}
2022-03-02 20:03:41,903 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "021200000000"}
2022-03-02 20:03:41,904 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000021300000000"}
2022-03-02 20:03:42,048 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000021300000000"}
2022-03-02 20:03:42,106 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000021300000000"}
2022-03-02 20:03:42,106 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000021300000000"}
2022-03-02 20:03:42,106 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000021300000000"}
2022-03-02 20:03:42,107 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000021300000000"}
2022-03-02 20:03:42,288 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000021300000000"}
2022-03-02 20:03:42,288 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000000F01B9F6010000000000100300030000000000000000004343434343434343434343001A00021300000000"}
2022-03-02 20:03:43,832 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "0001CCD9210004010000"}
2022-03-02 20:03:43,913 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:03:44,001 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "00010BD5210004000000"}
2022-03-02 20:03:44,591 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "02110000000000000643434343434343434343434343430000000000000000000000"}
2022-03-02 20:03:44,788 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": -1, "data": "0003010100000506000600000000000000000000000000"}
2022-03-02 20:03:46,806 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:03:47,266 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "00012BDB210000010000"}
2022-03-02 20:03:47,569 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "00013AE1210000000000"}
2022-03-02 20:03:47,990 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": -1, "data": "000400010000040000000000FF41057C210000000000744E575F47616D6553657474696E670041414141414141414141414141410000434343434343434343434343434300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000FFFFFFFFFFFFFFFFFFFFFFFF00000000FFFFFFFFFFFFFFFFFFFFFFFF00000100FFFFFFFFFFFFFFFFFFFFFFFF0700060000000000000000000000000002000000FFFFFFFF76F021002800000000000000000000000101010101010001010000010101001403FF0000000100010100000050C30000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF00C0A84400C0A844000080BF000080BF000080BF000080BF000080BF000080BF0000AF430000AF43000080BF000080BF000080BF000080BF000080BF000080BF000D0000"}
