2024-04-28 09:35:10,716 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 127|15489
2024-04-28 09:35:11,425 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 126|15617
2024-04-28 09:35:12,047 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 125|15725
2024-04-28 09:35:12,704 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 123|15815
2024-04-28 09:35:13,366 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 122|15869
2024-04-28 09:35:14,569 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 123|15842
2024-04-28 09:35:15,779 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 122|15873
2024-04-28 09:35:16,852 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 120|15913
2024-04-28 09:35:18,055 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 119|15939
2024-04-28 09:35:19,242 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 119|15955
2024-04-28 09:35:20,444 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 118|15971
2024-04-28 09:35:21,238 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 116|16005
2024-04-28 09:35:21,920 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 116|16018
2024-04-28 09:35:22,915 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 115|16026
2024-04-28 09:35:23,661 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 114|16038
2024-04-28 09:35:24,391 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 113|16057
2024-04-28 09:35:25,118 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 112|16065
2024-04-28 09:35:25,851 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 111|16072
2024-04-28 09:35:26,583 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 111|16074
2024-04-28 09:35:27,245 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 110|16081
2024-04-28 09:35:27,890 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 109|16088
2024-04-28 09:35:28,598 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 109|16092
2024-04-28 09:35:29,268 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 109|16110
2024-04-28 09:35:29,918 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 107|16117
2024-04-28 09:35:30,653 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 107|16117
2024-04-28 09:35:31,386 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 106|16121
2024-04-28 09:35:32,053 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 106|16128
2024-04-28 09:35:32,742 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 105|16129
2024-04-28 09:35:33,474 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 105|16133
2024-04-28 09:35:34,135 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 104|16139
2024-04-28 09:35:34,854 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 103|16144
2024-04-28 09:35:35,591 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 102|16148
2024-04-28 09:35:36,255 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 101|16151
2024-04-28 09:35:36,937 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 100|16159
2024-04-28 09:35:37,564 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 99|16162
2024-04-28 09:35:38,214 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 98|16165
2024-04-28 09:35:38,870 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 97|16170
2024-04-28 09:35:40,075 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 96|16175
2024-04-28 09:35:40,739 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 96|16177
2024-04-28 09:35:41,540 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 96|16178
2024-04-28 09:35:42,306 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 95|16183
2024-04-28 09:35:43,074 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 94|16188
2024-04-28 09:35:43,825 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 93|16189
2024-04-28 09:35:44,709 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 92|16196
2024-04-28 09:35:45,543 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 91|16200
2024-04-28 09:35:46,364 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 89|16204
2024-04-28 09:35:47,234 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 88|16208
2024-04-28 09:35:48,034 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 88|16210
2024-04-28 09:35:48,748 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 87|16211
2024-04-28 09:35:49,565 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 86|16215
2024-04-28 09:35:50,223 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 86|16216
2024-04-28 09:35:50,882 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 86|16220
2024-04-28 09:35:52,022 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 83|16225
2024-04-28 09:35:52,754 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 82|16229
2024-04-28 09:35:53,419 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 82|16232
2024-04-28 09:35:54,088 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 81|16234
2024-04-28 09:35:54,770 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 80|16237
2024-04-28 09:35:55,524 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 79|16239
2024-04-28 09:35:56,240 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 78|16240
2024-04-28 09:35:57,013 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 77|16240
2024-04-28 09:35:57,708 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 77|16240
2024-04-28 09:35:58,427 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 77|16240
2024-04-28 09:36:03,243 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 77|16240
